time (seconds),encoderLeft (meters),encoderRight (meters)
53.901,0.0017302334308624268,-0.003035629400983453
54.001,0.00407828064635396,-0.005387074779719114
54.102,0.006426290608942509,-0.007738547865301371
54.201,0.0087743466719985,-0.010090033523738384
54.299,0.011122315190732479,-0.012441552244126797
54.393,0.013470330275595188,-0.014793041162192822
54.501,0.015818368643522263,-0.017144503071904182
54.602,0.01816636696457863,-0.01949603296816349
54.703,0.02051439881324768,-0.021847477182745934
54.8,0.02286241017282009,-0.02419898472726345
54.9,0.025210410356521606,-0.026550473645329475
55,0.027558472007513046,-0.028901955112814903
55.101,0.029906468465924263,-0.031253453344106674
55.201,0.032254476100206375,-0.0336049422621727
55.302,0.034602511674165726,-0.035956453531980515
55.401,0.0369504913687706,-0.038307949900627136
55.501,0.03929855301976204,-0.040659401565790176
55.601,0.041646573692560196,-0.043010879307985306
55.701,0.04399457573890686,-0.04536238685250282
55.801,0.04634259641170502,-0.04771386459469795
55.903,0.04869067296385765,-0.0500653013586998
56.001,0.05103868618607521,-0.05241677165031433
56.099,0.05338669940829277,-0.05476828292012215
56.202,0.05573472008109093,-0.05711976811289787
56.301,0.058082785457372665,-0.05947123467922211
56.401,0.060430776327848434,-0.061822738498449326
56.501,0.06277881562709808,-0.06417422741651535
56.6,0.06512683629989624,-0.06652572005987167
56.702,0.06747487187385559,-0.06887716799974442
56.799,0.06982288509607315,-0.07122866064310074
56.9,0.0721709281206131,-0.07358013093471527
56.999,0.07451899349689484,-0.07593157142400742
57.093,0.07686702162027359,-0.07828307151794434
57.21,0.07921501249074936,-0.08063457161188126
57.3,0.0815630778670311,-0.0829860121011734
57.402,0.08391108363866806,-0.08533751219511032
57.501,0.08625911921262741,-0.08768898993730545
57.601,0.08860716223716736,-0.09004045277833939
57.701,0.09095517545938492,-0.09239193052053452
57.796,0.09330318868160248,-0.09474342316389084
57.901,0.09565123170614243,-0.09709488600492477
58.001,0.09799927473068237,-0.09944633394479752
58.101,0.10034731775522232,-0.10179778188467026
58.201,0.10269537568092346,-0.10414926707744598
58.299,0.10504341870546341,-0.10650070011615753
58.401,0.10739143937826157,-0.10885220021009445
58.501,0.10973948985338211,-0.111203633248806
58.601,0.11208751052618027,-0.11355510354042053
58.7,0.11443550884723663,-0.11590661108493805
58.801,0.11678357422351837,-0.11825808137655258
58.901,0.11913158744573593,-0.1206095814704895
59,0.12147964537143707,-0.12296100705862045
59.099,0.12382765114307404,-0.12531250715255737
59.199,0.12617570161819458,-0.12766394019126892
59.301,0.12852367758750916,-0.13001546263694763
59.398,0.1308717429637909,-0.13236691057682037
59.501,0.13321974873542786,-0.1347183734178543
59.599,0.135567769408226,-0.13706988096237183
59.699,0.13791577517986298,-0.13942135870456696
59.8,0.14026381075382233,-0.1417728215456009
59.901,0.14261184632778168,-0.14412429928779602
60,0.21635496616363525,-0.07060720771551132
60.101,0.2913464307785034,0.00438329903408885
60.202,0.36634230613708496,0.07937908917665482
60.3,0.4413381814956665,0.1543748676776886
60.402,0.516334056854248,0.22937065362930298
60.501,0.5913299322128296,0.30436643958091736
60.6,0.6663258075714111,0.37936219573020935
60.7,0.7413216829299927,0.45435798168182373
60.802,0.8163175582885742,0.5293537378311157
60.9,0.8913134336471558,0.6043495535850525
60.997,0.9663093686103821,0.6793453097343445
61.101,1.0413051843643188,0.7543410658836365
61.2,1.1163010597229004,0.8293368220329285
61.3,1.1912970542907715,0.90433269739151
61.401,1.2662930488586426,0.9793285131454468
61.504,1.3412889242172241,1.0543243885040283
61.602,1.4162849187850952,1.1293202638626099
61.7,1.4912809133529663,1.2043160200119019
61.798,1.5662769079208374,1.2793118953704834
61.903,1.6412729024887085,1.354307770729065
61.997,1.71626877784729,1.429303526878357
62.098,1.7912647724151611,1.5042994022369385
62.2,1.8662607669830322,1.57929527759552
62.301,1.9412567615509033,1.654291033744812
62.401,2.0162527561187744,1.729287028312683
62.501,2.0912487506866455,1.804282784461975
62.601,2.1662447452545166,1.8792786598205566
62.702,2.2412407398223877,1.9542744159698486
62.801,2.3162364959716797,2.0292701721191406
62.901,2.391230821609497,2.1042630672454834
63.003,2.4662389755249023,2.1792359352111816
63.099,2.541215658187866,2.2542247772216797
63.201,2.6162006855010986,2.329204797744751
63.3,2.6911845207214355,2.4041764736175537
63.4,2.766166925430298,2.4791548252105713
63.499,2.8411471843719482,2.5541276931762695
63.6,2.9161243438720703,2.629101276397705
63.7,2.9910972118377686,2.7040793895721436
63.798,3.0660696029663086,2.779055595397949
63.9,3.1410436630249023,2.8540313243865967
63.993,3.216017961502075,2.9290053844451904
64.101,3.2909975051879883,3.003983974456787
64.196,3.3659725189208984,3.0789589881896973
64.301,3.440951347351074,3.1539368629455566
64.4,3.5159294605255127,3.2289140224456787
64.5,3.5909085273742676,3.303891658782959
64.6,3.665886402130127,3.3788681030273438
64.701,3.7408652305603027,3.453845262527466
64.801,3.815842866897583,3.5288212299346924
64.901,3.8908209800720215,3.603797674179077
65.001,3.9657979011535645,3.67877197265625
